UniqueID,Strain,CBD=1,Lot Number,Extraction Run,Time (mins),Col1/2,PSI,Temp (degC),Program Used 0/1,Mass CO2 Used (lbs),Extraction Efficiency THC,Extraction Efficiency CBD,Extraction Efficiency CBN,Input Mass (g),Output Spent Mass (g),% Mass Extracted,Spent % (as is) THC,Spent % (as is) CBD,Spent % (as is) CBN,Decarb % (as is) THC,Decarb % (as is) CBD,Decarb % (as is) CBN
201,BW,1,920,6,120,2,5000,65,1,55,0.9846,0.9889,0.7621,1570.5,1209.5,0.2299,0.0845,0.1036,0.0069,5.497,9.324,0.029
202,BW,1,920,7,140,1,5000,65,1,55,0.9891,0.9932,0.8034,1558.5,1199.5,0.2303,0.0597,0.0636,0.0057,5.497,9.324,0.029
203,SK ,0,899,1,140,1,5000,65,1,80.5,0.9813,1,0.9538,1557.5,1371,0.1197,0.1809,0,0.0043,9.6578,0.023,0.093
204,SK ,0,899,2,140,2,5000,65,1,72,0.9833,1,0.9419,1554.5,1317.5,0.1525,0.1615,0,0.0054,9.6578,0.023,0.093
205,SK ,0,899,3,160,1,5000,65,1,65,0.9863,1,0.9333,1555,1321,0.1505,0.1324,0,0.0062,9.6578,0.023,0.093
206,SK ,0,899,5,140,1,5000,65,1,88,0.9653,1,0.9505,1572,1359,0.1355,0.3351,0,0.0046,9.6578,0.023,0.093
207,SK ,0,899,6,140,2,5000,65,1,81,0.9864,1,0.9548,1348.5,1149,0.1479,0.1314,0,0.0042,9.6578,0.023,0.093
208,NL,0,903,1,145,1,5000,65,1,82,0.9788,1,0.9466,1358.6,1155,0.1499,0.1993,0,0.0135,9.421,0.025,0.253
209,NL,0,903,2,180,2,5000,65,1,69,0.992,1,0.9688,1338,1146,0.1435,0.075,0,0.0079,9.421,0.025,0.253
210,NL,0,903,5,110,1,5000,65,1,65,0.9907,1,0.9783,1278,1104,0.1362,0.0874,0,0.0055,9.421,0.025,0.253
211,NL,0,903,6,110,2,5000,65,1,63.5,0.9829,0.88,0.9557,1168,1003.5,0.1408,0.1609,0.003,0.0112,9.421,0.025,0.253
212,NL,0,903,7,110,1,5000,65,1,60,0.9934,1,0.985,1155.5,992,0.1415,0.0623,0,0.0038,9.421,0.025,0.253
213,HB,0,931,1,120,1,5000,65,0,55.5,0.9652,1,0.6409,1600.5,1380.5,0.1375,0.2933,0,0.0079,8.419,0.085,0.022
214,HB,0,931,2,110,2,5000,65,0,57,0.9548,1,1,1516,1299,0.1431,0.3809,0,0,8.419,0.085,0.022
214,HB,0,931,3,110,1,5000,65,1,54.5,0.9516,1,0.5773,1414,1257.5,0.1107,0.4074,0,0.0093,8.419,0.085,0.022
215,HB,0,931,4,105,2,5000,65,1,57,0.9652,1,0.6409,1518.5,1320,0.1307,0.2933,0,0.0079,8.419,0.085,0.022
216,HB,0,931,5,115,1,5000,65,1,57,0.9716,1,0.7,1582.5,1367,0.1362,0.2391,0,0.0066,8.419,0.085,0.022
217,HB,0,931,6,130,2,5000,65,1,57,0.9616,1,0.6045,1574,1370.5,0.1293,0.3233,0,0.0087,8.419,0.085,0.022
218,SB,0,545,1,150,1,5000,65,1,70,0.922,1,0.4036,1452.5,1268,0.127,0.9015,0,0.0835,11.56,0.01,0.14
220,SB,0,545,4,160,2,5000,65,1,80,0.8522,1,-0.14,1593,1284,0.194,1.7081,0,0.1596,11.56,0.01,0.14
221,NN,1,981,1,90,1,5000,65,1,52.5,0.9588,0.9734,1,1765,1544,0.1252,0.0145,0.1938,0,0.352,7.287,0.01
222,NN,1,981,2,100,2,5000,65,1,57.5,0.9523,0.967,1,1717.5,1601.5,0.0675,0.0168,0.2406,0,0.352,7.287,0.01
223,NN,1,981,3,95,1,5000,65,2,54,0.9926,0.9885,1,1655,1473.5,0.1097,0.0026,0.084,0,0.352,7.287,0.01
224,NN,1,981,4,100,2,5000,65,1,55.5,0.9926,0.9775,1,1652.5,1490.5,0.098,0.0026,0.164,0,0.352,7.287,0.01
225,NN,1,981,5,130,1,5000,65,1,53.5,0.9727,0.9871,1,1736,1557,0.1031,0.0096,0.0939,0,0.352,7.287,0.01
226,NN,1,981,6,90,1,5000,65,1,50,0.9713,0.9778,1,1425.5,1277.5,0.1038,0.0101,0.162,0,0.352,7.287,0.01
226,NN,1,981,7,90,2,5000,65,1,50,0.919,0.9436,1,1374.5,1233.5,0.1026,0.0285,0.4109,0,0.352,7.287,0.01
227,NN,1,982,1,100,1,5000,65,1,58.5,0.9697,0.9777,1,1545,1388.5,0.1013,0.0091,0.1413,0,0.3,6.339,0.0012
228,NN,1,982,2,85,1,5000,65,1,50,0.9893,0.9862,1,1711.5,1473.5,0.1391,0.0032,0.0873,0,0.3,6.339,0.0012
230,NN,1,982,4,90,1,5000,65,1,50,0.946,0.9686,1,1860,1629.5,0.1239,0.0162,0.1988,0,0.3,6.339,0.0012
231,NN,1,982,5,85,1,5000,65,1,50,0.9167,0.9508,-1.9167,1722.5,1553,0.0984,0.025,0.3119,0.0035,0.3,6.339,0.0012
232,NN,1,982,6,110,2,5000,65,1,53.5,0.9457,0.9644,-1.4167,1726.5,1583.5,0.0828,0.0163,0.2258,0.0029,0.3,6.339,0.0012
233,NN,1,982,7,90,1,5000,65,1,51.5,0.877,0.9328,-2.5,1720,1570.5,0.0869,0.0369,0.4258,0.0042,0.3,6.339,0.0012
234,NN,1,982,8,100,2,5000,65,1,50,0.9737,0.9784,1,1629.5,1473.5,0.0957,0.0079,0.1372,0,0.3,6.339,0.0012
235,NN,1,982,9,90,1,5000,65,1,50.5,0.9563,0.9726,1,1618,1461.5,0.0967,0.0131,0.1738,0,0.3,6.339,0.0012
236,TI,1,984,1,100,1,5000,65,1,61,0.9406,0.9679,1,1600.5,1292.5,0.1924,0.03,0.4329,0,0.5052,13.503,0.0098
234,TI,1,984,2,84,2,5000,65,1,50.5,0.9658,0.9768,1,1489,1215,0.184,0.0173,0.3136,0,0.5052,13.503,0.0098
235,TI,1,984,3,100,1,5000,45,1,50.5,0.8165,0.9166,1,1518,1264.5,0.167,0.0927,1.126,0,0.5052,13.503,0.0098
236,TI,1,984,4,117,2,5000,45,1,59.5,0.9515,0.9819,1,1576.5,1266.5,0.1966,0.0245,0.2439,0,0.5052,13.503,0.0098
237,TI,1,984,5,130,1,5000,65,1,59,0.9276,0.9661,1,1381,1114.5,0.193,0.0366,0.4579,0,0.5052,13.503,0.0098
238,TI,1,984,6,121,1,5000,65,1,51.5,0.8858,0.9483,1,1517,1230.5,0.1889,0.0577,0.6987,0,0.5052,13.503,0.0098
239,TI,1,984,7,114,2,5000,85,1,49.5,0.9101,0.9598,1,1681,1351,0.1963,0.0454,0.5427,0,0.5052,13.503,0.0098
240,TI,1,994,1,100,1,5000,65,1,55,0.9781,0.9866,1,1618,1309,0.191,0.0104,0.1653,0,0.4752,12.3758,0.0113
241,TI,1,994,2,120,2,5000,65,1,70.5,0.971,0.9774,1,1605,1293,0.1944,0.0138,0.2796,0,0.4752,12.3758,0.0113
242,TI,1,994,3,110,1,5000,65,1,55,0.9888,0.9898,1,1725.5,1382,0.1991,0.0053,0.1267,0,0.4752,12.3758,0.0113
243,TI,1,994,4,125,2,5000,65,1,58.5,0.9638,0.9818,1,1610.5,1301,0.1922,0.0172,0.2252,0,0.4752,12.3758,0.0113
244,TI,1,994,5,110,1,5000,65,1,50,0.8887,0.9654,1,1588,1277.5,0.1955,0.0529,0.4285,0,0.4752,12.3758,0.0113
245,TI,1,994,7,120,1,5000,65,1,55,0.9266,0.961,1,1602,1267,0.2091,0.0349,0.4821,0,0.4752,12.3758,0.0113
246,TI,1,994,6,120,2,5000,65,1,63.5,0.7919,0.8759,1,1535,1264.5,0.1762,0.0989,1.5354,0,0.4752,12.3758,0.0113
247,NN,1,983,1,125,1,5000,65,1,50,0.9266,0.959,0.7067,1554,1438,0.0746,0.0224,0.2727,0.0044,0.305,6.646,0.015
248,NN,1,983,2,140,2,5000,65,1,58,0.9259,0.9478,1,1571.5,1443,0.0818,0.0226,0.3469,0,0.305,6.646,0.015
249,NN,1,983,3,115,1,5000,65,1,50,0.9826,0.9815,1,1593,1449,0.0904,0.0053,0.1229,0,0.305,6.646,0.015
250,NN,1,983,4,90,2,5000,65,1,50,0.8931,0.9356,0.6067,1664,1507.5,0.0941,0.0326,0.4282,0.0059,0.305,6.646,0.015
251,NN,1,983,5,90,1,5000,65,1,59,0.9672,0.9676,1,1681.5,1531.5,0.0892,0.01,0.2151,0,0.305,6.646,0.015
252,NN,1,983,6,110,2,5000,65,1,59,0.8295,0.8831,0.12,1577,1439,0.0875,0.052,0.777,0.0132,0.305,6.646,0.015
253,NN,1,983,7,90,1,5000,65,1,51.5,1,0.9893,1,1599,1438,0.1007,0,0.0708,0,0.305,6.646,0.015
254,NN,1,983,8,115,2,5000,65,1,50.5,0.9889,0.9848,1,1529.5,1399,0.0853,0.0034,0.1008,0,0.305,6.646,0.015
255,NN,1,983,9,100,1,5000,65,1,50,0.963,0.9726,1,1488,1366,0.082,0.0113,0.1824,0,0.305,6.646,0.015
256,NN,1,983,10,110,2,5000,65,1,53.5,0.9849,0.9829,1,1351,1265,0.0637,0.0046,0.1137,0,0.305,6.646,0.015
257,N2,1,1007,1,110,1,5000,65,1,50,1,0.9791,1,1687.5,1391,0.1757,0,0.2502,0,0.5765,11.9855,0.0077
258,N2,1,1007,2,100,2,5000,65,1,50.5,1,0.8636,1,1603,1345.5,0.1606,0,1.6346,0,0.5765,11.9855,0.0077
